rssilog_id , rssilog_rssi , rssilog_antenna ,     rssilog_timestamp2     , session_sso 
18652582,-100, 11.0.0.24       , 2016-01-27 19:37:30.669814 ,178
18652566,-95, 11.0.0.24       , 2016-01-27 19:37:25.544513 ,178
18652551,-105, 11.0.0.24       , 2016-01-27 19:37:20.529466 ,178
18652536,-124, 11.0.0.24       , 2016-01-27 19:37:13.253482 ,178
18652501,-58, 11.0.0.24       , 2016-01-27 19:37:02.120014 ,178
18652472,-118, 11.0.0.24       , 2016-01-27 19:36:50.472941 ,178
18652441,-130, 11.0.0.24       , 2016-01-27 19:36:41.762217 ,178
18652400,-53, 11.0.0.24       , 2016-01-27 19:36:28.562984 ,178
18652368,-86, 11.0.0.24       , 2016-01-27 19:36:17.057011 ,178
18652357,0, 11.0.0.24       , 2016-01-27 19:36:13.048793 ,178
18652256,-136, 11.0.0.24       , 2016-01-27 19:35:39.710783 ,178
18652207,-102, 11.0.0.24       , 2016-01-27 19:35:25.373951 ,178
18652186,-68, 11.0.0.24       , 2016-01-27 19:35:18.993271 ,178
18652148,-86, 11.0.0.24       , 2016-01-27 19:35:04.894708 ,178
18652126,0, 11.0.0.24       , 2016-01-27 19:34:58.343131 ,178
18652003,-87, 11.0.0.24       , 2016-01-27 19:34:21.04919  ,178
18651991,-113, 11.0.0.24       , 2016-01-27 19:34:15.750797 ,178
18651969,-104, 11.0.0.24       , 2016-01-27 19:34:07.304521 ,178
18651954,-98, 11.0.0.24       , 2016-01-27 19:34:01.30373  ,178
18651936,-59, 11.0.0.24       , 2016-01-27 19:33:56.070602 ,178
18651898,-48, 11.0.0.24       , 2016-01-27 19:33:42.751527 ,178
18651867,-87, 11.0.0.24       , 2016-01-27 19:33:33.404235 ,178
18651849,-81, 11.0.0.24       , 2016-01-27 19:33:28.400339 ,178
18651832,0, 11.0.0.24       , 2016-01-27 19:33:22.923555 ,178
18651741,0, 11.0.0.24       , 2016-01-27 19:32:54.578133 ,178
18651614,-124, 11.0.0.24       , 2016-01-27 19:32:17.077284 ,178
18651570,0, 11.0.0.24       , 2016-01-27 19:32:04.242576 ,178
18651502,-92, 11.0.0.24       , 2016-01-27 19:31:41.033742 ,178
18651480,-86, 11.0.0.24       , 2016-01-27 19:31:33.192287 ,178
